unsorted_precinct,precinct,active_voters,group_total,weight
41-60,218,2405,192205,0.013
41-60,219,2113,192205,0.011
41-60,220,2729,192205,0.014
41-60,221,3772,192205,0.020
41-60,223.1,3038,192205,0.016
41-60,225,1767,192205,0.009
41-60,227,4,192205,0.000
41-60,228,2315,192205,0.012
41-60,229,6799,192205,0.035
41-60,230,4600,192205,0.024
41-60,231,1606,192205,0.008
41-60,233,243,192205,0.001
41-60,236,3702,192205,0.019
41-60,238.1,2342,192205,0.012
41-60,239,991,192205,0.005
41-60,240,5272,192205,0.027
41-60,241,5246,192205,0.027
41-60,242,2683,192205,0.014
41-60,243,7903,192205,0.041
61-80,151,355,16438,0.022
61-80,200,1622,16438,0.099
61-80,201,3070,16438,0.187
61-80,203,1741,16438,0.106
61-80,204.1,1009,16438,0.061
61-80,205,1997,16438,0.121
61-80,209,42,16438,0.003
61-80,211,1212,16438,0.074
61-80,212,738,16438,0.045
61-80,214,4,16438,0.000
61-80,223.1,2703,16438,0.164
61-80,224,1318,16438,0.080
61-80,237,280,16438,0.017
61-80,238.1,347,16438,0.021
81-96,212,1722,23406,0.074
81-96,217,1414,23406,0.060
81-96,223.1,254,23406,0.011
81-96,226,389,23406,0.017
81-96,227,1964,23406,0.084
81-96,231,2277,23406,0.097
81-96,233,3465,23406,0.148
81-96,234,3000,23406,0.128
81-96,235,3108,23406,0.133
81-96,237,3844,23406,0.164
81-96,239,1969,23406,0.084
